Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-01-15;2.793,75;2.795,5;2.790,75;2.794,25;;
2018-01-13;2.788,75;2.788,75;2.788,75;2.788,75;;
2018-01-12;2.768,5;2.789,5;2.766,5;2.788,75;;
2018-01-11;2.752,25;2.770;2.748;2.769,25;;
2018-01-10;2.749,5;2.751,75;2.737,25;2.751;;
2018-01-09;2.745,25;2.759,5;2.744;2.750,25;;
2018-01-08;2.746,5;2.748,75;2.737,5;2.747,75;;
2018-01-05;2.725,75;2.743,5;2.724,25;2.743;;
2018-01-04;2.710,5;2.728,75;2.709,75;2.724,75;;
2018-01-03;2.696;2.714,5;2.695,75;2.709,25;;
2018-01-02;2.678,75;2.695,75;2.675,75;2.694,5;;
2018-01-01;2.667,5;2.668,75;2.667,5;2.668,5;;
2017-12-29;2.687;2.697,5;2.667,25;2.668;;
2017-12-28;2.683;2.686,75;2.680,5;2.684,75;;
2017-12-27;2.684;2.686,25;2.678,75;2.682;;
2017-12-26;2.681,5;2.684,75;2.680,75;2.684;;
2017-12-25;2.683,75;2.683,75;2.683,5;2.683,5;;
2017-12-23;2.683,75;2.683,75;2.683,75;2.683,75;;
2017-12-22;2.687,75;2.688,75;2.680,5;2.683,75;;
2017-12-21;2.681,25;2.693,5;2.678,5;2.684,75;;
2017-12-20;2.687,25;2.692,75;2.677;2.679,25;;
2017-12-19;2.692,25;2.695,5;2.680,5;2.682,25;;
2017-12-18;2.683,5;2.695,25;2.683;2.693;;
2017-12-15;2.652,5;2.680,5;2.651,25;2.680,5;;
2017-12-14;2.668,5;2.670,75;2.649,5;2.650,25;;
2017-12-13;2.661,75;2.672,5;2.657;2.667,25;;
2017-12-12;2.663,5;2.670,25;2.661;2.666;;
2017-12-11;2.653;2.662;2.650,25;2.662;;
2017-12-09;2.651,75;2.651,75;2.651,75;2.651,75;;
2017-12-08;2.639;2.652,5;2.638,75;2.651,75;;
2017-12-07;2.637,25;2.640,75;2.626,75;2.639,5;;
2017-12-06;2.630,75;2.634,25;2.620,75;2.631,75;;
2017-12-05;2.641;2.649,25;2.628;2.628;;
2017-12-04;2.659;2.665,5;2.634,75;2.638;;
2017-12-02;2.642,75;2.642,75;2.642,75;2.642,75;;
2017-12-01;2.639,75;2.650,75;2.605,5;2.642,75;;
2017-11-30;2.623,25;2.657,75;2.623,25;2.642,5;;
2017-11-29;2.626,75;2.635;2.621,25;2.626,25;;
2017-11-28;2.600,75;2.628;2.599,25;2.627;;
2017-11-27;2.599;2.606,75;2.598;2.604;;
2017-11-25;2.602,5;2.602,5;2.602,5;2.602,5;;
2017-11-24;2.597,25;2.603,75;2.597,25;2.602,5;;
2017-11-23;2.594,5;2.599,25;2.591;2.597,5;;
2017-11-22;2.597;2.601;2.594,25;2.594,75;;
2017-11-21;2.582,5;2.601,25;2.581;2.597;;
2017-11-20;2.576;2.584,5;2.569,25;2.583,75;;
2017-11-18;2.576,75;2.576,75;2.576,75;2.576,75;;
2017-11-17;2.585,25;2.586,5;2.576,5;2.576,75;;
